Word ,  Count 
sticke , 1
royaltie , 1
reignes , 1
feard , 1
dauntlesse , 1
temper , 1
wisdome , 1
guide , 1
safetie , 1
genius , 1
rebukd , 1
mark , 1
anthonies , 1
caesar , 1
chid , 1
prophetlike , 1
hayld , 1
line , 3
placd , 2
fruitlesse , 1
barren , 1
scepter , 1
gripe , 1
wrencht , 1
vnlineall , 1
sonne , 8
succeeding , 2
ift , 3
banquos , 5
issue , 6
fild , 1
gracious , 7
rancours , 1
vessell , 1
eternall , 2
iewell , 1
common , 2
enemie , 4
lyst , 2
champion , 1
vtterance , 1
yesterday , 1
murth , 3
considerd , 1
past , 2
held , 1
conference , 1
probation , 1
crost , 1
soule , 4
notion , 1
crazd , 1
1murth , 4
patience , 3
predominant , 1
gospelld , 1
bowd , 1
beggerd , 1
yours , 3
catalogue , 1
hounds , 1
greyhounds , 1
mungrels , 1
spaniels , 1
curres , 1
showghes , 1
waterrugs , 1
demywolues , 1
clipt , 1
dogges , 1
valued , 1
file , 3
distinguishes , 1
subtle , 1
housekeeper , 1
hunter , 1
according , 2
gift , 1
bounteous , 1
closd , 1
whereby , 1
particular , 1
bill , 1
writes , 1
alike , 1
station , 2
worst , 5
ranke , 1
manhood , 2
sayt , 1
bosomes , 2
grapples , 1
health , 5
sickly , 2
perfect , 4
2murth , 2
vile , 1
blowes , 1
buffets , 1
incensd , 1
recklesse , 1
spight , 2
disasters , 1
tuggd , 1
mend , 1
rid , 1
distance , 2
minute , 2
thrusts , 1
neerst , 1
barefacd , 1
power , 7
sweepe , 1
auouch , 1
loues , 4
drop , 3
wayle , 1
struck , 1
assistance , 1
masking , 1
sundry , 3
weightie , 1
reasons , 1
aduise , 2
acquaint , 1
spy , 1
something , 4
alwayes , 1
require , 2
clearenesse , 1
rubs , 1
botches , 1
fleans , 9
keepes , 4
companie , 1
absence , 2
materiall , 1
embrace , 1
resolue , 1
apart , 1
resolud , 1
straight , 2
abide , 2
concluded , 1
soules , 4
flight , 4
court , 4
madame , 2
returnes , 1
few , 1
noughts , 1
got , 2
destruction , 2
dwell , 1
ioy , 2
sorryest , 1
fancies , 2
companions , 1
vsing , 1
remedie , 1
regard , 2
scorchd , 1
snake , 2
sheele , 1
close , 3
whilest , 1
remaines , 2
danger , 2
tooth , 2
frame , 1
disioynt , 1
worlds , 1
meale , 1
affliction , 1
nightly , 1
gayne , 2
torture , 1
restlesse , 1
extasie , 2
fitfull , 1
feuer , 1
sleepes , 1
poyson , 1
domestique , 1
forraine , 1
leuie , 1
touch , 3
sleeke , 1
rugged , 2
bright , 2
iouiall , 1
among , 1
guests , 1
apply , 1
eminence , 1
vnsafe , 1
laue , 1
flattering , 1
streames , 1
vizards , 1
disguising , 1
scorpions , 1
knowst , 1
coppies , 1
eterne , 1
assaileable , 1
